,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
93,2008, מאזדה 3,210000,3,1598,כתום,אזור יישובי השומרון,אוטומטית,17000.0,0,0,0
94,2009, מאזדה 3,156000,3,1598,טורקיז,אזור ירושלים והסביבה,אוטומטית,21000.0,1,0,0
95,2010, מאזדה 6,191000,4,1999,סגול מטאלי,אזור אשדוד - אשקלון,אוטומטית,32000.0,1,0,0
96,2010, מאזדה 5,190000,2,1999,אפור מטאלי,אזור עכו - נהריה,אוטומטית,35000.0,0,1,0
97,2008, מאזדה 3,200000,2,1598,כסוף,אזור חולון - בת ים,אוטומטית,17500.0,1,1,1
98,2008, מאזדה 5,200000,3,1999,פלטינה,אזור קריות,אוטומטית,22000.0,1,1,0
99,2008, מאזדה 6,250000,2,2488,שחור מטאלי,אזור ירושלים והסביבה,אוטומטית,26000.0,0,1,0
100,2005, מאזדה 3,208,3,1598,אפור,אזור רמלה - לוד,אוטומטית,12000.0,1,0,0
101,2004, מאזדה 323,350000,3,1598,כסוף,אזור גליל ועמקים,אוטומטית,4500.0,1,0,0
102,2004, מאזדה 6,199000,4,2261,אפור מטאלי,אזור תל אביב,אוטומטית,13500.0,1,0,0
103,2008, מאזדה 3,230000,5,1598,כחול,אזור מושבים בצפון,אוטומטית,11000.0,1,1,0
104,2000, מאזדה 323,179000,2,1598,ירוק בקבוק,אזור חיפה וחוף הכרמל,אוטומטית,5000.0,1,0,0
105,2005, מאזדה 3,118000,3,1598,ירוק מטאלי,אזור תל אביב,אוטומטית,12500.0,1,0,0
106,2007, מאזדה 3,150000,7,1999,שחור,אזור חולון - בת ים,אוטומטית,18000.0,0,0,0
107,1999, מאזדה 626,290000,2,1991,שמפניה,אזור רמת גן - גבעתיים,אוטומטית,4500.0,0,0,0
108,2001, מאזדה 626,98000,2,1991,כחול בהיר,אזור רמלה - לוד,אוטומטית,15000.0,0,1,0
109,2001, מאזדה 323,270000,3,1840,אפור,אזור חדרה וישובי עמק חפר,אוטומטית,6000.0,1,1,0
110,2001, מאזדה 626,323000,2,1991,ירוק בקבוק,אזור מושבים בצפון,אוטומטית,6000.0,1,0,0
111,2002, מאזדה 323,240000,4,1840,אפור,אזור מושבים בצפון,אוטומטית,9000.0,1,0,0
112,2005, מאזדה 3,190000,1,1999,כסוף מטאלי,אזור מושבים בצפון,אוטומטית,17000.0,1,1,0
113,2004, מאזדה 323,265000,4,1598,לבן,אזור חדרה וישובי עמק חפר,אוטומטית,4900.0,1,0,0
114,2001, מאזדה 323,185000,4,1598,בז’,אזור רמלה - לוד,אוטומטית,7000.0,0,1,0
115,2001, מאזדה 323,263000,4,1598,אפור,אזור רעננה - כפר סבא,אוטומטית,9000.0,0,0,1
116,2005, מאזדה MX5,208000,8,1840,כחול כהה מטאלי,אזור רעננה - כפר סבא,אוטומטית,67500.0,0,1,0
117,2003, מאזדה 323,210000,3,1598,כסוף,אזור באר שבע והסביבה,אוטומטית,6500.0,0,0,0
118,2001, מאזדה 323,300000,7,1598,כסוף,אזור עכו - נהריה,אוטומטית,3000.0,0,0,0
119,2006, מאזדה 6,190000,3,1999,כסוף,אזור חולון - בת ים,אוטומטית,5000.0,0,0,0
120,2011, מאזדה 6,131000,4,1999,אפור עכבר,אזור ירושלים והסביבה,אוטומטית,35000.0,0,1,0
121,2009, מאזדה 3,185000,2,1598,לבן,אזור תל אביב,אוטומטית,30000.0,0,0,0
122,2008, מאזדה 5,214000,3,1999,אפור עכבר,אזור יישובי השומרון,אוטומטית,29000.0,0,0,0
